,Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
0,1,1,,"KIPRUTO, Amos (KEN)",–,,M,–,Elite,1:02:14,02:04:39
1,2,2,,"GEBRESILASE, Leul (ETH)",–,,M,–,Elite,1:02:14,02:05:12
2,3,3,,"ABDI, Bashir (BEL)",–,,M,–,Elite,1:02:14,02:05:19
3,4,4,,"ATANAW, Kinde (ETH)",–,,M,–,Elite,1:02:14,02:05:27
4,5,5,,"BEKELE, Kenenisa (ETH)",–,,M,–,Elite,1:02:14,02:05:53
5,6,6,,"LEGESE, Birhanu (ETH)",–,,M,–,Elite,1:02:14,02:06:11
6,7,7,,"LEMMA, Sisay (ETH)",–,,M,–,Elite,1:02:15,02:07:26
7,8,8,,"ROBINSON, Brett (AUS)",–,3.0,M,–,Elite,1:04:27,02:09:52
8,9,9,,"GHEBRESILASIE, Weynay (GBR)",Shettleston,4.0,M,–,Elite,1:04:27,02:11:57
9,10,10,,"SESEMANN, Philip (GBR)",Leeds,7.0,M,–,Elite,1:04:52,02:12:10
10,11,11,,"FUTAOKA, Kohei (JPN)",–,2.0,M,–,Elite,1:04:53,02:14:18
11,12,12,,"BRADEN, Ross (GBR)",Kent AC,0.0,M,–,Elite,1:06:07,02:14:32
12,13,13,,"OKAMOTO, Naoki (JPN)",–,0.0,M,–,Elite,1:05:11,02:15:05
13,14,1,,"YEHUALAW, Yalemzerf (ETH)",–,3.0,W,–,Elite,1:08:46,02:17:26
14,15,14,,"LEACH, Matthew (GBR)",Bedford & County,9.0,M,–,Elite,1:06:07,02:17:28
15,16,15,,"BOWKER, Nick (GBR)",Clapham Chaser,5.0,M,–,Elite,1:07:45,02:17:35
16,17,16,,"LAWRENCE, Alexander (GBR)",Victoria Park & Tower Hamlets,3.0,M,–,Elite,1:07:45,02:17:58
17,18,2,,"JEPKOSGEI, Joyciline (KEN)",–,1.0,W,–,Elite,1:08:46,02:18:07
18,19,3,,"MEGERTU, Alemu (ETH)",–,8.0,W,–,Elite,1:08:46,02:18:32
19,20,4,,"KORIR, Judith Jeptum (KEN)",–,7.0,W,–,Elite,1:08:46,02:18:43
20,21,5,,"MELLY, Joan Chelimo (ROU)",–,5.0,W,–,Elite,1:08:46,02:19:27
21,22,6,,"BEKERE, Ashete (ETH)",–,4.0,W,–,Elite,1:08:46,02:19:30
22,23,7,,"NGUGI, Mary (KEN)",–,0.0,W,–,Elite,1:09:55,02:20:22
23,24,8,,"KEBEDE, Sutume Asefa (ETH)",–,6.0,W,–,Elite,1:08:46,02:20:44
24,25,17,,"MCCANN, Andrew (USA)",–,2.0,M,–,Elite,1:08:02,02:21:39
25,26,9,,"HOSODA, Ai (JPN)",–,3.0,W,–,Elite,1:10:16,02:21:42
26,27,18,,"AIBA, Naoki (JPN)",–,1.0,M,–,Elite,1:04:53,02:22:45
27,28,19,,"ERENJIA, Jia (CHN)",–,6.0,M,–,Elite,1:04:53,02:25:17
28,29,10,,"HARVEY, Rose (GBR)",Clapham Chasers,5.0,W,–,Elite,1:13:59,02:27:59
29,30,20,,"KOWAL, Yoann (FRA)",–,8.0,M,–,Elite,1:04:53,02:27:59
30,31,21,,"STRANGEWAY, William (GBR)",Lincoln Wellington,4.0,M,–,Elite,1:09:24,02:34:11
31,32,11,,"KLIMEK, Marci (USA)",–,6.0,W,–,Elite,1:15:39,02:37:56
32,33,12,,"TWELL, Stephanie (GBR)",Aldershot Farnham & District,4.0,W,–,Elite,1:13:59,02:39:16
